actorKey,actorName,presentInWorld,threatClass,level,attack,specialization,specializationLabel,damage,pellets,penetration,damageTypes,actionPointCost,actionsPerTurn,hitChance,targetArmorClass,targetArmor,targetArmorCondition,firstActionHealthDamage,firstActionImmediateDamage,firstActionArmorWear,actionsUntilFirstHealthDamage,landedActionsToDefeat,expectedTurnsToDefeat
ghoul:reaver,Гуль-потрошитель,true,B,38,Потрошение,flurry,Серия,35,1,5,slashing:100%,9,1,95,C,Боевая броня,650,39,39,66,1,12,12.6
ghoul:reaver,Гуль-потрошитель,true,B,38,Потрошение,flurry,Серия,35,1,5,slashing:100%,9,1,95,B,"Боевая броня, усиленная",1011,0,0,105,3,17,17.9
ghoul:reaver,Гуль-потрошитель,true,B,38,Потрошение,flurry,Серия,35,1,5,slashing:100%,9,1,95,A,Силовая броня T-60,3400,0,0,105,33,40,42.1
ghoul:reaver,Гуль-потрошитель,true,B,38,Потрошение,flurry,Серия,35,1,5,slashing:100%,9,1,95,S,Силовая броня T-65,4800,0,0,105,47,53,55.8
ghoul:reaver,Гуль-потрошитель,true,B,38,Укус,puncture,Пробивная,55,1,28,piercing:100%,5,2,95,D,Кожаная броня,250,55,55,0,1,13,6.8
ghoul:reaver,Гуль-потрошитель,true,B,38,Укус,puncture,Пробивная,55,1,28,piercing:100%,5,2,95,C,Боевая броня,650,46,46,9,1,15,7.9
ghoul:reaver,Гуль-потрошитель,true,B,38,Укус,puncture,Пробивная,55,1,28,piercing:100%,5,2,95,B,"Боевая броня, усиленная",1011,26,26,29,1,22,11.6
ghoul:reaver,Гуль-потрошитель,true,B,38,Укус,puncture,Пробивная,55,1,28,piercing:100%,5,2,95,A,Силовая броня T-60,3400,0,0,55,63,75,39.5
ghoul:reaver,Гуль-потрошитель,true,B,38,Укус,puncture,Пробивная,55,1,28,piercing:100%,5,2,95,S,Силовая броня T-65,4800,0,0,55,89,101,53.2
ghoul:berserker,Гуль-берсерк,true,B,46,Когти,rend,Рубящая,90,1,10,slashing:100%,6,2,95,D,Кожаная броня,250,89,89,1,1,8,4.2
ghoul:berserker,Гуль-берсерк,true,B,46,Когти,rend,Рубящая,90,1,10,slashing:100%,6,2,95,C,Боевая броня,650,73,73,17,1,10,5.3
ghoul:berserker,Гуль-берсерк,true,B,46,Когти,rend,Рубящая,90,1,10,slashing:100%,6,2,95,B,"Боевая броня, усиленная",1011,57,57,33,1,12,6.3
ghoul:berserker,Гуль-берсерк,true,B,46,Когти,rend,Рубящая,90,1,10,slashing:100%,6,2,95,A,Силовая броня T-60,3400,0,0,90,39,46,24.2
ghoul:berserker,Гуль-берсерк,true,B,46,Когти,rend,Рубящая,90,1,10,slashing:100%,6,2,95,S,Силовая броня T-65,4800,0,0,90,55,62,32.6
ghoul:berserker,Гуль-берсерк,true,B,46,Укус,puncture,Пробивная,65,1,35,piercing:100%,6,2,95,D,Кожаная броня,250,65,65,0,1,11,5.8
ghoul:berserker,Гуль-берсерк,true,B,46,Укус,puncture,Пробивная,65,1,35,piercing:100%,6,2,95,C,Боевая броня,650,63,63,2,1,11,5.8
ghoul:berserker,Гуль-берсерк,true,B,46,Укус,puncture,Пробивная,65,1,35,piercing:100%,6,2,95,B,"Боевая броня, усиленная",1011,43,43,22,1,15,7.9
ghoul:berserker,Гуль-берсерк,true,B,46,Укус,puncture,Пробивная,65,1,35,piercing:100%,6,2,95,A,Силовая броня T-60,3400,0,0,65,54,64,33.7
ghoul:berserker,Гуль-берсерк,true,B,46,Укус,puncture,Пробивная,65,1,35,piercing:100%,6,2,95,S,Силовая броня T-65,4800,0,0,65,75,85,44.7
ghoul:glowing,Светящийся гуль,true,B,30,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,4,2,95,D,Кожаная броня,250,34,34,5,1,20,10.5
ghoul:glowing,Светящийся гуль,true,B,30,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,4,2,95,C,Боевая броня,650,18,18,21,1,30,15.8
ghoul:glowing,Светящийся гуль,true,B,30,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,4,2,95,B,"Боевая броня, усиленная",1011,2,2,37,1,44,23.2
ghoul:glowing,Светящийся гуль,true,B,30,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,4,2,95,A,Силовая броня T-60,3400,0,0,60,58,75,39.5
ghoul:glowing,Светящийся гуль,true,B,30,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,4,2,95,S,Силовая броня T-65,4800,0,0,60,81,98,51.6
ghoul:glowing,Светящийся гуль,true,B,30,Укус,puncture,Пробивная,40,1,21,piercing:100%,4,2,95,D,Кожаная броня,250,40,40,0,1,17,8.9
ghoul:glowing,Светящийся гуль,true,B,30,Укус,puncture,Пробивная,40,1,21,piercing:100%,4,2,95,C,Боевая броня,650,24,24,16,1,25,13.2
ghoul:glowing,Светящийся гуль,true,B,30,Укус,puncture,Пробивная,40,1,21,piercing:100%,4,2,95,B,"Боевая броня, усиленная",1011,4,4,36,1,40,21.1
ghoul:glowing,Светящийся гуль,true,B,30,Укус,puncture,Пробивная,40,1,21,piercing:100%,4,2,95,A,Силовая броня T-60,3400,0,0,40,86,102,53.7
ghoul:glowing,Светящийся гуль,true,B,30,Укус,puncture,Пробивная,40,1,21,piercing:100%,4,2,95,S,Силовая броня T-65,4800,0,0,40,121,137,72.1
super-mutant:ordinary,Супермутант,true,C,20,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,4,2,95,D,Кожаная броня,250,42,42,12,1,16,8.4
super-mutant:ordinary,Супермутант,true,C,20,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,4,2,95,C,Боевая броня,650,27,27,35,1,22,11.6
super-mutant:ordinary,Супермутант,true,C,20,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,4,2,95,B,"Боевая броня, усиленная",1011,13,13,56,1,28,14.7
super-mutant:ordinary,Супермутант,true,C,20,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,4,2,95,A,Силовая броня T-60,3400,0,0,75,47,60,31.6
super-mutant:ordinary,Супермутант,true,C,20,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,4,2,95,S,Силовая броня T-65,4800,0,0,75,65,78,41.1
super-mutant:nightkin,Ночной охотник,true,B,38,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,5,2,95,D,Кожаная броня,250,73,73,11,1,10,5.3
super-mutant:nightkin,Ночной охотник,true,B,38,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,5,2,95,C,Боевая броня,650,58,58,33,1,12,6.3
super-mutant:nightkin,Ночной охотник,true,B,38,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,5,2,95,B,"Боевая броня, усиленная",1011,44,44,54,1,14,7.4
super-mutant:nightkin,Ночной охотник,true,B,38,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,5,2,95,A,Силовая броня T-60,3400,0,0,120,30,38,20
super-mutant:nightkin,Ночной охотник,true,B,38,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,5,2,95,S,Силовая броня T-65,4800,0,0,120,41,49,25.8
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Удар,impact,Силовая,360,7,5,bludgeoning:100%,13,1,95,D,Кожаная броня,250,332,332,42,1,3,3.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Удар,impact,Силовая,360,7,5,bludgeoning:100%,13,1,95,C,Боевая броня,650,233,233,193,1,3,3.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Удар,impact,Силовая,360,7,5,bludgeoning:100%,13,1,95,B,"Боевая броня, усиленная",1011,137,137,338,1,4,4.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Удар,impact,Силовая,360,7,5,bludgeoning:100%,13,1,95,A,Силовая броня T-60,3400,0,0,542,7,9,9.5
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Удар,impact,Силовая,360,7,5,bludgeoning:100%,13,1,95,S,Силовая броня T-65,4800,0,0,542,9,11,11.6
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Топот,impact,Силовая,325,6,5,bludgeoning:100%,13,1,95,D,Кожаная броня,250,301,301,36,1,3,3.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Топот,impact,Силовая,325,6,5,bludgeoning:100%,13,1,95,C,Боевая броня,650,214,214,169,1,3,3.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Топот,impact,Силовая,325,6,5,bludgeoning:100%,13,1,95,B,"Боевая броня, усиленная",1011,131,131,294,1,4,4.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Топот,impact,Силовая,325,6,5,bludgeoning:100%,13,1,95,A,Силовая броня T-60,3400,0,0,488,8,10,10.5
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Топот,impact,Силовая,325,6,5,bludgeoning:100%,13,1,95,S,Силовая броня T-65,4800,0,0,488,11,13,13.7
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,13,1,95,D,Кожаная броня,250,250,250,30,1,3,3.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,13,1,95,C,Боевая броня,650,175,175,145,1,4,4.2
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,13,1,95,B,"Боевая броня, усиленная",1011,105,105,250,1,5,5.3
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,13,1,95,A,Силовая броня T-60,3400,0,0,405,9,11,11.6
super-mutant:behemoth,Супермутант-бегемот,true,S,92,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,13,1,95,S,Силовая броня T-65,4800,0,0,405,13,15,15.8
rodent:rat,Крыса,true,D,4,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,2,3,91,D,Кожаная броня,250,8,8,5,1,68,24.9
rodent:rat,Крыса,true,D,4,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,2,3,91,C,Боевая броня,650,0,0,13,51,102,37.4
rodent:rat,Крыса,true,D,4,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,2,3,91,B,"Боевая броня, усиленная",1011,0,0,13,79,130,47.6
rodent:rat,Крыса,true,D,4,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,2,3,91,A,Силовая броня T-60,3400,0,0,13,263,314,115
rodent:rat,Крыса,true,D,4,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,2,3,91,S,Силовая броня T-65,4800,0,0,13,371,422,154.6
rodent:rat,Крыса,true,D,4,Когти,rend,Рубящая,7,1,0,slashing:100%,2,3,91,D,Кожаная броня,250,0,0,7,30,133,48.7
rodent:rat,Крыса,true,D,4,Когти,rend,Рубящая,7,1,0,slashing:100%,2,3,91,C,Боевая броня,650,0,0,7,94,190,69.6
rodent:rat,Крыса,true,D,4,Когти,rend,Рубящая,7,1,0,slashing:100%,2,3,91,B,"Боевая броня, усиленная",1011,0,0,7,146,242,88.6
rodent:rat,Крыса,true,D,4,Когти,rend,Рубящая,7,1,0,slashing:100%,2,3,91,A,Силовая броня T-60,3400,0,0,7,487,583,213.6
rodent:rat,Крыса,true,D,4,Когти,rend,Рубящая,7,1,0,slashing:100%,2,3,91,S,Силовая броня T-65,4800,0,0,7,687,783,286.8
rodent:mole-rat,Кротокрыс,true,D,10,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,3,2,91,D,Кожаная броня,250,17,17,4,1,38,20.9
rodent:mole-rat,Кротокрыс,true,D,10,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,3,2,91,C,Боевая броня,650,0,0,21,26,64,35.2
rodent:mole-rat,Кротокрыс,true,D,10,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,3,2,91,B,"Боевая броня, усиленная",1011,0,0,21,50,82,45.1
rodent:mole-rat,Кротокрыс,true,D,10,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,3,2,91,A,Силовая броня T-60,3400,0,0,21,163,195,107.1
rodent:mole-rat,Кротокрыс,true,D,10,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,3,2,91,S,Силовая броня T-65,4800,0,0,21,230,262,144
rodent:mole-rat,Кротокрыс,true,D,10,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,5,1,91,D,Кожаная броня,250,9,9,14,1,47,51.6
rodent:mole-rat,Кротокрыс,true,D,10,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,5,1,91,C,Боевая броня,650,0,0,27,16,62,68.1
rodent:mole-rat,Кротокрыс,true,D,10,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,5,1,91,B,"Боевая броня, усиленная",1011,0,0,27,39,76,83.5
rodent:mole-rat,Кротокрыс,true,D,10,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,5,1,91,A,Силовая броня T-60,3400,0,0,27,127,164,180.2
rodent:mole-rat,Кротокрыс,true,D,10,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,5,1,91,S,Силовая броня T-65,4800,0,0,27,179,216,237.4
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,4,2,95,D,Кожаная броня,250,35,35,0,1,20,10.5
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,4,2,95,C,Боевая броня,650,6,6,29,1,39,20.5
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,4,2,95,B,"Боевая броня, усиленная",1011,0,0,35,19,49,25.8
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,4,2,95,A,Силовая броня T-60,3400,0,0,35,99,118,62.1
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,4,2,95,S,Силовая броня T-65,4800,0,0,35,139,158,83.2
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,6,1,95,D,Кожаная броня,250,19,19,14,1,30,31.6
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,6,1,95,C,Боевая броня,650,4,4,36,1,40,42.1
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,6,1,95,B,"Боевая броня, усиленная",1011,0,0,42,16,49,51.6
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,6,1,95,A,Силовая броня T-60,3400,0,0,42,82,106,111.6
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,6,1,95,S,Силовая броня T-65,4800,0,0,42,116,140,147.4
brahmin:ordinary,Дикий брамин,true,D,8,Рога,horn,Таранный прокол,24,1,4,piercing:100%,3,3,93,D,Кожаная броня,250,20,20,4,1,33,11.8
brahmin:ordinary,Дикий брамин,true,D,8,Рога,horn,Таранный прокол,24,1,4,piercing:100%,3,3,93,C,Боевая броня,650,0,0,24,18,56,20.1
brahmin:ordinary,Дикий брамин,true,D,8,Рога,horn,Таранный прокол,24,1,4,piercing:100%,3,3,93,B,"Боевая броня, усиленная",1011,0,0,24,44,72,25.8
brahmin:ordinary,Дикий брамин,true,D,8,Рога,horn,Таранный прокол,24,1,4,piercing:100%,3,3,93,A,Силовая броня T-60,3400,0,0,24,143,171,61.3
brahmin:ordinary,Дикий брамин,true,D,8,Рога,horn,Таранный прокол,24,1,4,piercing:100%,3,3,93,S,Силовая броня T-65,4800,0,0,24,201,229,82.1
brahmin:ordinary,Дикий брамин,true,D,8,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,3,3,93,D,Кожаная броня,250,15,15,14,1,35,12.5
brahmin:ordinary,Дикий брамин,true,D,8,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,3,3,93,C,Боевая броня,650,0,0,36,5,47,16.8
brahmin:ordinary,Дикий брамин,true,D,8,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,3,3,93,B,"Боевая броня, усиленная",1011,0,0,36,24,57,20.4
brahmin:ordinary,Дикий брамин,true,D,8,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,3,3,93,A,Силовая броня T-60,3400,0,0,36,96,124,44.4
brahmin:ordinary,Дикий брамин,true,D,8,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,3,3,93,S,Силовая броня T-65,4800,0,0,36,135,163,58.4
horse:pack,Вьючная лошадь,true,D,5,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,3,3,95,D,Кожаная броня,250,9,9,14,1,47,16.5
horse:pack,Вьючная лошадь,true,D,5,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,3,3,95,C,Боевая броня,650,0,0,27,16,62,21.8
horse:pack,Вьючная лошадь,true,D,5,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,3,3,95,B,"Боевая броня, усиленная",1011,0,0,27,39,76,26.7
horse:pack,Вьючная лошадь,true,D,5,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,3,3,95,A,Силовая броня T-60,3400,0,0,27,127,164,57.5
horse:pack,Вьючная лошадь,true,D,5,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,3,3,95,S,Силовая броня T-65,4800,0,0,27,179,216,75.8
horse:pack,Вьючная лошадь,true,D,5,Укус,puncture,Пробивная,13,1,1,piercing:100%,3,3,95,D,Кожаная броня,250,6,6,7,1,72,25.3
horse:pack,Вьючная лошадь,true,D,5,Укус,puncture,Пробивная,13,1,1,piercing:100%,3,3,95,C,Боевая броня,650,0,0,13,51,102,35.8
horse:pack,Вьючная лошадь,true,D,5,Укус,puncture,Пробивная,13,1,1,piercing:100%,3,3,95,B,"Боевая броня, усиленная",1011,0,0,13,79,130,45.6
horse:pack,Вьючная лошадь,true,D,5,Укус,puncture,Пробивная,13,1,1,piercing:100%,3,3,95,A,Силовая броня T-60,3400,0,0,13,263,314,110.2
horse:pack,Вьючная лошадь,true,D,5,Укус,puncture,Пробивная,13,1,1,piercing:100%,3,3,95,S,Силовая броня T-65,4800,0,0,13,371,422,148.1
canine:dog,Собака Пустошей,true,D,6,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,2,4,93,D,Кожаная броня,250,15,15,5,1,42,11.3
canine:dog,Собака Пустошей,true,D,6,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,2,4,93,C,Боевая броня,650,0,0,20,27,67,18
canine:dog,Собака Пустошей,true,D,6,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,2,4,93,B,"Боевая броня, усиленная",1011,0,0,20,52,85,22.8
canine:dog,Собака Пустошей,true,D,6,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,2,4,93,A,Силовая броня T-60,3400,0,0,20,171,204,54.8
canine:dog,Собака Пустошей,true,D,6,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,2,4,93,S,Силовая броня T-65,4800,0,0,20,241,274,73.7
canine:dog,Собака Пустошей,true,D,6,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,4,2,93,D,Кожаная броня,250,4,4,14,1,65,34.9
canine:dog,Собака Пустошей,true,D,6,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,4,2,93,C,Боевая броня,650,0,0,20,34,85,45.7
canine:dog,Собака Пустошей,true,D,6,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,4,2,93,B,"Боевая броня, усиленная",1011,0,0,20,52,103,55.4
canine:dog,Собака Пустошей,true,D,6,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,4,2,93,A,Силовая броня T-60,3400,0,0,20,171,222,119.4
canine:dog,Собака Пустошей,true,D,6,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,4,2,93,S,Силовая броня T-65,4800,0,0,20,241,292,157
canine:feral-dog,Одичавшая собака,true,D,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,3,3,95,D,Кожаная броня,250,21,21,3,1,32,11.2
canine:feral-dog,Одичавшая собака,true,D,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,3,3,95,C,Боевая броня,650,0,0,24,18,56,19.6
canine:feral-dog,Одичавшая собака,true,D,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,3,3,95,B,"Боевая броня, усиленная",1011,0,0,24,44,72,25.3
canine:feral-dog,Одичавшая собака,true,D,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,3,3,95,A,Силовая броня T-60,3400,0,0,24,143,171,60
canine:feral-dog,Одичавшая собака,true,D,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,3,3,95,S,Силовая броня T-65,4800,0,0,24,201,229,80.4
canine:feral-dog,Одичавшая собака,true,D,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,3,3,95,D,Кожаная броня,250,7,7,14,1,53,18.6
canine:feral-dog,Одичавшая собака,true,D,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,3,3,95,C,Боевая броня,650,0,0,24,23,70,24.6
canine:feral-dog,Одичавшая собака,true,D,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,3,3,95,B,"Боевая броня, усиленная",1011,0,0,24,44,86,30.2
canine:feral-dog,Одичавшая собака,true,D,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,3,3,95,A,Силовая броня T-60,3400,0,0,24,143,185,64.9
canine:feral-dog,Одичавшая собака,true,D,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,3,3,95,S,Силовая броня T-65,4800,0,0,24,201,243,85.3
canine:wolf,Волк Пустошей,true,C,22,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,4,2,95,D,Кожаная броня,250,40,40,0,1,17,8.9
canine:wolf,Волк Пустошей,true,C,22,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,4,2,95,C,Боевая броня,650,18,18,22,1,29,15.3
canine:wolf,Волк Пустошей,true,C,22,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,4,2,95,B,"Боевая броня, усиленная",1011,0,0,40,7,43,22.6
canine:wolf,Волк Пустошей,true,C,22,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,4,2,95,A,Силовая броня T-60,3400,0,0,40,86,102,53.7
canine:wolf,Волк Пустошей,true,C,22,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,4,2,95,S,Силовая броня T-65,4800,0,0,40,121,137,72.1
canine:wolf,Волк Пустошей,true,C,22,Наскок,impact,Силовая,27,1,0,bludgeoning:100%,4,2,95,D,Кожаная броня,250,18,18,14,1,32,16.8
canine:wolf,Волк Пустошей,true,C,22,Наскок,impact,Силовая,27,1,0,bludgeoning:100%,4,2,95,C,Боевая броня,650,3,3,36,1,42,22.1
