actorKey,actorName,presentInWorld,threatClass,level,experience,actionPoints,attack,specialization,specializationLabel,damage,pellets,penetration,damageTypes,skill,attackSkill,hitDifficulty,hitChance,actions,benchmarkAction,actionPointCost,actionsPerTurn,targetArmor,targetArmorCondition,firstActionHealthDamage,firstActionImmediateDamage,firstActionArmorWear,actionsUntilFirstHealthDamage,landedActionsToDefeat,expectedTurnsToDefeat,unarmoredLandedActionsToDefeat,unarmoredExpectedTurnsToDefeat,torsoResistance
ghoul:glowing,Светящийся гуль,true,B,30,71250,9,Укус,puncture,Пробивная,40,1,21,piercing:100%,meleeCombat,120,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,"Боевая броня, усиленная",1011,4,4,36,1,40,21.1,17,8.9,"{""piercing"":27,""slashing"":30,""bludgeoning"":23,""firearm"":22,""energy"":18,""fire"":14,""cryo"":17,""electric"":11,""acid"":17,""poison"":45,""radiation"":60}"
super-mutant:ordinary,Супермутант,true,C,20,32500,11,Кулаки,impact,Силовая,50,1,1,bludgeoning:100%,meleeCombat,90,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,27,27,35,1,22,11.6,14,7.4,"{""piercing"":22,""slashing"":24,""bludgeoning"":18,""firearm"":17,""energy"":12,""fire"":8,""cryo"":13,""electric"":8,""acid"":13,""poison"":19,""radiation"":22}"
super-mutant:nightkin,Ночной охотник,true,B,38,113050,13,Кулаки,impact,Силовая,80,1,2,bludgeoning:100%,meleeCombat,140,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,44,44,54,1,14,7.4,9,4.7,"{""piercing"":41,""slashing"":45,""bludgeoning"":34,""firearm"":32,""energy"":23,""fire"":16,""cryo"":25,""electric"":16,""acid"":25,""poison"":36,""radiation"":41}"
super-mutant:behemoth,Супермутант-бегемот,true,S,92,646300,18,Удар,impact,Силовая,360,7,5,bludgeoning:100%,meleeCombat,220,82,95,meleeAttack:13 ОД; aimedMeleeAttack:14 ОД,meleeAttack,13,1,Силовая броня T-65,4800,0,0,542,9,11,11.6,2,2.1,"{""piercing"":207,""slashing"":230,""bludgeoning"":173,""firearm"":166,""energy"":115,""fire"":81,""cryo"":127,""electric"":81,""acid"":127,""poison"":184,""radiation"":207}"
super-mutant:behemoth,Супермутант-бегемот,true,S,92,646300,18,Топот,impact,Силовая,325,6,5,bludgeoning:100%,meleeCombat,220,82,95,meleeAttack:13 ОД; aimedMeleeAttack:14 ОД,meleeAttack,13,1,Силовая броня T-65,4800,0,0,488,11,13,13.7,3,3.2,"{""piercing"":207,""slashing"":230,""bludgeoning"":173,""firearm"":166,""energy"":115,""fire"":81,""cryo"":127,""electric"":81,""acid"":127,""poison"":184,""radiation"":207}"
super-mutant:behemoth,Супермутант-бегемот,true,S,92,646300,18,Бросок,impact,Силовая,270,5,5,bludgeoning:100%,rangedCombat,215,82,95,snapshot:13 ОД; aimedShot:14 ОД,snapshot,13,1,Силовая броня T-65,4800,0,0,405,13,15,15.8,3,3.2,"{""piercing"":207,""slashing"":230,""bludgeoning"":173,""firearm"":166,""energy"":115,""fire"":81,""cryo"":127,""electric"":81,""acid"":127,""poison"":184,""radiation"":207}"
rodent:rat,Крыса,true,D,4,1700,7,Укус,predatorBite,Сильный укус,13,1,3,piercing:100%,meleeCombat,72,82,91,meleeAttack:2 ОД; aimedMeleeAttack:3 ОД,meleeAttack,2,3,Кожаная броня,250,8,8,5,1,68,24.9,52,19,"{""piercing"":3,""slashing"":3,""bludgeoning"":2,""firearm"":2,""energy"":2,""fire"":1,""cryo"":2,""electric"":1,""acid"":2,""poison"":2,""radiation"":3}"
rodent:rat,Крыса,true,D,4,1700,7,Когти,rend,Рубящая,7,1,0,slashing:100%,meleeCombat,72,82,91,meleeAttack:2 ОД; aimedMeleeAttack:3 ОД,meleeAttack,2,3,Кожаная броня,250,0,0,7,30,133,48.7,97,35.5,"{""piercing"":3,""slashing"":3,""bludgeoning"":2,""firearm"":2,""energy"":2,""fire"":1,""cryo"":2,""electric"":1,""acid"":2,""poison"":2,""radiation"":3}"
rodent:mole-rat,Кротокрыс,true,D,10,8750,7,Укус,predatorBite,Сильный укус,21,1,4,piercing:100%,meleeCombat,72,82,91,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,2,Кожаная броня,250,17,17,4,1,38,20.9,33,18.1,"{""piercing"":7,""slashing"":8,""bludgeoning"":6,""firearm"":6,""energy"":4,""fire"":3,""cryo"":4,""electric"":3,""acid"":4,""poison"":6,""radiation"":7}"
rodent:mole-rat,Кротокрыс,true,D,10,8750,7,Рывок,impact,Силовая,18,1,0,bludgeoning:100%,meleeCombat,72,82,91,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,1,Кожаная броня,250,9,9,14,1,47,51.6,38,41.8,"{""piercing"":7,""slashing"":8,""bludgeoning"":6,""firearm"":6,""energy"":4,""fire"":3,""cryo"":4,""electric"":3,""acid"":4,""poison"":6,""radiation"":7}"
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,32500,9,Укус,predatorBite,Сильный укус,35,1,8,piercing:100%,meleeCombat,82,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,6,6,29,1,39,20.5,20,10.5,"{""piercing"":38,""slashing"":43,""bludgeoning"":23,""firearm"":36,""energy"":18,""fire"":9,""cryo"":20,""electric"":13,""acid"":20,""poison"":29,""radiation"":32}"
rodent:armored-mole-rat,Бронированный кротокрыс,true,C,20,32500,9,Рывок,impact,Силовая,28,1,0,bludgeoning:100%,meleeCombat,82,82,95,meleeAttack:6 ОД; aimedMeleeAttack:7 ОД,meleeAttack,6,1,Боевая броня,650,4,4,36,1,40,42.1,25,26.3,"{""piercing"":38,""slashing"":43,""bludgeoning"":23,""firearm"":36,""energy"":18,""fire"":9,""cryo"":20,""electric"":13,""acid"":20,""poison"":29,""radiation"":32}"
brahmin:ordinary,Дикий брамин,true,D,8,5800,9,Рога,horn,Таранный прокол,24,1,4,piercing:100%,meleeCombat,74,82,93,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,20,20,4,1,33,11.8,29,10.4,"{""piercing"":7,""slashing"":8,""bludgeoning"":6,""firearm"":6,""energy"":4,""fire"":3,""cryo"":4,""electric"":3,""acid"":4,""poison"":6,""radiation"":7}"
brahmin:ordinary,Дикий брамин,true,D,8,5800,9,Копыта,impact,Силовая,24,1,0,bludgeoning:100%,meleeCombat,74,82,93,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,15,15,14,1,35,12.5,29,10.4,"{""piercing"":7,""slashing"":8,""bludgeoning"":6,""firearm"":6,""energy"":4,""fire"":3,""cryo"":4,""electric"":3,""acid"":4,""poison"":6,""radiation"":7}"
horse:pack,Вьючная лошадь,true,D,5,2500,11,Копыта,impact,Силовая,18,1,0,bludgeoning:100%,meleeCombat,88,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,9,9,14,1,47,16.5,38,13.3,"{""piercing"":5,""slashing"":6,""bludgeoning"":5,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":5,""radiation"":5}"
horse:pack,Вьючная лошадь,true,D,5,2500,11,Укус,puncture,Пробивная,13,1,1,piercing:100%,meleeCombat,88,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,6,6,7,1,72,25.3,52,18.2,"{""piercing"":5,""slashing"":6,""bludgeoning"":5,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":5,""radiation"":5}"
canine:dog,Собака Пустошей,true,D,6,3450,9,Укус,predatorBite,Сильный укус,20,1,3,piercing:100%,meleeCombat,74,82,93,meleeAttack:2 ОД; aimedMeleeAttack:3 ОД,meleeAttack,2,4,Кожаная броня,250,15,15,5,1,42,11.3,34,9.1,"{""piercing"":4,""slashing"":4,""bludgeoning"":3,""firearm"":3,""energy"":2,""fire"":1,""cryo"":2,""electric"":1,""acid"":2,""poison"":3,""radiation"":4}"
canine:dog,Собака Пустошей,true,D,6,3450,9,Наскок,impact,Силовая,13,1,0,bludgeoning:100%,meleeCombat,74,82,93,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Кожаная броня,250,4,4,14,1,65,34.9,52,28,"{""piercing"":4,""slashing"":4,""bludgeoning"":3,""firearm"":3,""energy"":2,""fire"":1,""cryo"":2,""electric"":1,""acid"":2,""poison"":3,""radiation"":4}"
canine:feral-dog,Одичавшая собака,true,D,10,8750,10,Укус,predatorBite,Сильный укус,24,1,5,piercing:100%,meleeCombat,78,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,21,21,3,1,32,11.2,29,10.2,"{""piercing"":5,""slashing"":5,""bludgeoning"":4,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":4,""radiation"":5}"
canine:feral-dog,Одичавшая собака,true,D,10,8750,10,Наскок,impact,Силовая,16,1,0,bludgeoning:100%,meleeCombat,78,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,7,7,14,1,53,18.6,43,15.1,"{""piercing"":5,""slashing"":5,""bludgeoning"":4,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":4,""radiation"":5}"
canine:wolf,Волк Пустошей,true,C,22,39050,11,Укус,predatorBite,Сильный укус,40,1,15,piercing:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,18,18,22,1,29,15.3,17,8.9,"{""piercing"":16,""slashing"":18,""bludgeoning"":14,""firearm"":13,""energy"":9,""fire"":6,""cryo"":10,""electric"":6,""acid"":10,""poison"":14,""radiation"":16}"
canine:wolf,Волк Пустошей,true,C,22,39050,11,Наскок,impact,Силовая,27,1,0,bludgeoning:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,3,3,36,1,42,22.1,25,13.2,"{""piercing"":16,""slashing"":18,""bludgeoning"":14,""firearm"":13,""energy"":9,""fire"":6,""cryo"":10,""electric"":6,""acid"":10,""poison"":14,""radiation"":16}"
canine:diseased-wolf,Больной волк,true,C,23,42550,11,Укус,predatorBite,Сильный укус,40,1,13,piercing:70% + poison:30%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,16,4,24,1,30,15.8,17,8.9,"{""piercing"":14,""slashing"":16,""bludgeoning"":12,""firearm"":12,""energy"":8,""fire"":6,""cryo"":9,""electric"":6,""acid"":9,""poison"":13,""radiation"":14}"
canine:diseased-wolf,Больной волк,true,C,23,42550,11,Наскок,impact,Силовая,26,1,0,bludgeoning:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,2,2,36,1,43,22.6,26,13.7,"{""piercing"":14,""slashing"":16,""bludgeoning"":12,""firearm"":12,""energy"":8,""fire"":6,""cryo"":9,""electric"":6,""acid"":9,""poison"":13,""radiation"":14}"
yao-guai:ordinary,Яо-гай-охотник,true,B,42,137550,12,Когти,rend,Рубящая,95,2,5,slashing:100%,meleeCombat,130,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,19,19,76,1,18,9.5,8,4.2,"{""piercing"":50,""slashing"":55,""bludgeoning"":41,""firearm"":40,""energy"":28,""fire"":19,""cryo"":30,""electric"":19,""acid"":30,""poison"":44,""radiation"":50}"
yao-guai:ordinary,Яо-гай-охотник,true,B,42,137550,12,Укус,puncture,Пробивная,70,1,54,piercing:100%,meleeCombat,130,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,67,67,3,1,11,5.8,10,5.3,"{""piercing"":50,""slashing"":55,""bludgeoning"":41,""firearm"":40,""energy"":28,""fire"":19,""cryo"":30,""electric"":19,""acid"":30,""poison"":44,""radiation"":50}"
yao-guai:ordinary,Яо-гай-охотник,true,B,42,137550,12,Таран,impact,Силовая,85,1,1,bludgeoning:100%,meleeCombat,130,82,95,meleeAttack:9 ОД; aimedMeleeAttack:10 ОД,meleeAttack,9,1,"Боевая броня, усиленная",1011,48,48,56,1,13,13.7,8,8.4,"{""piercing"":50,""slashing"":55,""bludgeoning"":41,""firearm"":40,""energy"":28,""fire"":19,""cryo"":30,""electric"":19,""acid"":30,""poison"":44,""radiation"":50}"
yao-guai:grizzly,Мутировавший гризли,true,B,50,193750,13,Когти,rend,Рубящая,110,2,6,slashing:100%,meleeCombat,138,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,36,36,74,1,14,7.4,7,3.7,"{""piercing"":59,""slashing"":65,""bludgeoning"":49,""firearm"":47,""energy"":33,""fire"":23,""cryo"":36,""electric"":23,""acid"":36,""poison"":52,""radiation"":59}"
yao-guai:grizzly,Мутировавший гризли,true,B,50,193750,13,Укус,puncture,Пробивная,80,1,66,piercing:100%,meleeCombat,138,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,80,80,0,1,9,4.7,9,4.7,"{""piercing"":59,""slashing"":65,""bludgeoning"":49,""firearm"":47,""energy"":33,""fire"":23,""cryo"":36,""electric"":23,""acid"":36,""poison"":52,""radiation"":59}"
yao-guai:grizzly,Мутировавший гризли,true,B,50,193750,13,Таран,impact,Силовая,100,2,2,bludgeoning:100%,meleeCombat,138,82,95,meleeAttack:9 ОД; aimedMeleeAttack:10 ОД,meleeAttack,9,1,"Боевая броня, усиленная",1011,28,28,108,1,14,14.7,7,7.4,"{""piercing"":59,""slashing"":65,""bludgeoning"":49,""firearm"":47,""energy"":33,""fire"":23,""cryo"":36,""electric"":23,""acid"":36,""poison"":52,""radiation"":59}"
yao-guai:bloodthirsty,Кровожадный гризли,true,A,65,325000,15,Когти,rend,Рубящая,160,3,9,slashing:100%,meleeCombat,184,82,95,meleeAttack:7 ОД; aimedMeleeAttack:8 ОД,meleeAttack,7,2,Силовая броня T-60,3400,0,0,160,22,26,13.7,5,2.6,"{""piercing"":81,""slashing"":90,""bludgeoning"":68,""firearm"":65,""energy"":45,""fire"":31,""cryo"":50,""electric"":31,""acid"":50,""poison"":72,""radiation"":81}"
yao-guai:bloodthirsty,Кровожадный гризли,true,A,65,325000,15,Укус,puncture,Пробивная,115,2,98,piercing:100%,meleeCombat,184,82,95,meleeAttack:7 ОД; aimedMeleeAttack:8 ОД,meleeAttack,7,2,Силовая броня T-60,3400,0,0,115,25,36,18.9,6,3.2,"{""piercing"":81,""slashing"":90,""bludgeoning"":68,""firearm"":65,""energy"":45,""fire"":31,""cryo"":50,""electric"":31,""acid"":50,""poison"":72,""radiation"":81}"
yao-guai:bloodthirsty,Кровожадный гризли,true,A,65,325000,15,Таран,impact,Силовая,145,3,3,bludgeoning:100%,meleeCombat,184,82,95,meleeAttack:11 ОД; aimedMeleeAttack:12 ОД,meleeAttack,11,1,Силовая броня T-60,3400,0,0,218,16,21,22.1,5,5.3,"{""piercing"":81,""slashing"":90,""bludgeoning"":68,""firearm"":65,""energy"":45,""fire"":31,""cryo"":50,""electric"":31,""acid"":50,""poison"":72,""radiation"":81}"
gecko:ordinary,Геккон,true,D,6,3450,9,Укус,predatorBite,Сильный укус,16,1,3,piercing:100%,meleeCombat,70,82,89,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,11,11,5,1,54,20.2,43,16.1,"{""piercing"":5,""slashing"":6,""bludgeoning"":5,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":5,""radiation"":5}"
gecko:ordinary,Геккон,true,D,6,3450,9,Хвост,lash,Хлёсткая,12,1,0,bludgeoning:100%,meleeCombat,70,82,89,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,3,Кожаная броня,250,3,3,14,1,70,26.2,57,21.3,"{""piercing"":5,""slashing"":6,""bludgeoning"":5,""firearm"":4,""energy"":3,""fire"":2,""cryo"":3,""electric"":2,""acid"":3,""poison"":5,""radiation"":5}"
gecko:hunter,Геккон-охотник,true,C,18,26550,11,Укус,predatorBite,Сильный укус,35,1,10,piercing:100%,meleeCombat,96,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,8,8,27,1,39,20.5,20,10.5,"{""piercing"":18,""slashing"":20,""bludgeoning"":15,""firearm"":14,""energy"":10,""fire"":7,""cryo"":11,""electric"":7,""acid"":11,""poison"":16,""radiation"":18}"
gecko:hunter,Геккон-охотник,true,C,18,26550,11,Хвост,lash,Хлёсткая,26,1,2,bludgeoning:100%,meleeCombat,96,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,4,4,33,1,43,22.6,26,13.7,"{""piercing"":18,""slashing"":20,""bludgeoning"":15,""firearm"":14,""energy"":10,""fire"":7,""cryo"":11,""electric"":7,""acid"":11,""poison"":16,""radiation"":18}"
gecko:golden,Золотой геккон,true,C,24,46200,10,Укус,predatorBite,Сильный укус,40,1,14,piercing:100%,meleeCombat,102,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,17,17,23,1,29,15.3,17,8.9,"{""piercing"":23,""slashing"":25,""bludgeoning"":19,""firearm"":18,""energy"":13,""fire"":9,""cryo"":14,""electric"":9,""acid"":14,""poison"":20,""radiation"":23}"
gecko:golden,Золотой геккон,true,C,24,46200,10,Хвост,lash,Хлёсткая,30,1,2,bludgeoning:100%,meleeCombat,102,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,8,8,33,1,38,20,23,12.1,"{""piercing"":23,""slashing"":25,""bludgeoning"":19,""firearm"":18,""energy"":13,""fire"":9,""cryo"":14,""electric"":9,""acid"":14,""poison"":20,""radiation"":23}"
gecko:fire,Огненный геккон,true,C,24,46200,10,Укус,predatorBite,Сильный укус,40,1,12,piercing:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,15,15,25,1,31,16.3,17,8.9,"{""piercing"":20,""slashing"":22,""bludgeoning"":17,""firearm"":16,""energy"":11,""fire"":8,""cryo"":12,""electric"":8,""acid"":12,""poison"":18,""radiation"":20}"
gecko:fire,Огненный геккон,true,C,24,46200,10,Пламя,flame,Огненная струя,35,1,2,fire:100%,rangedCombat,100,82,95,snapshot:7 ОД; aimedShot:8 ОД,snapshot,7,1,Боевая броня,650,18,9,17,1,33,34.7,20,21.1,"{""piercing"":20,""slashing"":22,""bludgeoning"":17,""firearm"":16,""energy"":11,""fire"":8,""cryo"":12,""electric"":8,""acid"":12,""poison"":18,""radiation"":20}"
gecko:fire,Огненный геккон,true,C,24,46200,10,Хвост,lash,Хлёсткая,29,1,2,bludgeoning:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,7,7,33,1,39,20.5,24,12.6,"{""piercing"":20,""slashing"":22,""bludgeoning"":17,""firearm"":16,""energy"":11,""fire"":8,""cryo"":12,""electric"":8,""acid"":12,""poison"":18,""radiation"":20}"
gecko:poison,Ядовитый геккон,true,C,22,39050,10,Укус,predatorBite,Сильный укус,35,1,10,piercing:60% + poison:40%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,14,0,21,1,38,20,20,10.5,"{""piercing"":18,""slashing"":20,""bludgeoning"":15,""firearm"":14,""energy"":10,""fire"":7,""cryo"":11,""electric"":7,""acid"":11,""poison"":16,""radiation"":18}"
gecko:poison,Ядовитый геккон,true,C,22,39050,10,Хвост,lash,Хлёсткая,27,1,2,bludgeoning:100%,meleeCombat,100,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,5,5,33,1,42,22.1,25,13.2,"{""piercing"":18,""slashing"":20,""bludgeoning"":15,""firearm"":14,""energy"":10,""fire"":7,""cryo"":11,""electric"":7,""acid"":11,""poison"":16,""radiation"":18}"
mutant-lizard:ordinary,Ящерица Пустошей,true,C,16,21200,9,Укус,puncture,Пробивная,24,1,10,piercing:100%,meleeCombat,88,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,0,0,24,7,56,29.5,29,15.3,"{""piercing"":14,""slashing"":16,""bludgeoning"":12,""firearm"":12,""energy"":8,""fire"":6,""cryo"":9,""electric"":6,""acid"":9,""poison"":13,""radiation"":14}"
mutant-lizard:ordinary,Ящерица Пустошей,true,C,16,21200,9,Хвост,lash,Хлёсткая,23,1,1,bludgeoning:100%,meleeCombat,88,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,Боевая броня,650,0,0,35,5,49,25.8,30,15.8,"{""piercing"":14,""slashing"":16,""bludgeoning"":12,""firearm"":12,""energy"":8,""fire"":6,""cryo"":9,""electric"":6,""acid"":9,""poison"":13,""radiation"":14}"
night-stalker:ordinary,Ночной охотник,true,B,34,90950,13,Укус,predatorBite,Сильный укус,65,1,27,piercing:70% + poison:30%,meleeCombat,145,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,35,16,30,1,18,9.5,11,5.8,"{""piercing"":32,""slashing"":35,""bludgeoning"":26,""firearm"":25,""energy"":18,""fire"":12,""cryo"":19,""electric"":12,""acid"":19,""poison"":28,""radiation"":32}"
